ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
amueblado.,Anuncio actualizado el 25 de febrero,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,84419086,Piso,,0,Azkoitia,"Calle atanotarren, 4"," Calle atanotarren, 4 , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",87,,2019-04-01,,110000,0,3,0,0,0,
"Céntrico, soleado y muy bien ubicado.",Anuncio actualizado el 19 de marzo,0,0,1,0,0,segunda mano/buen estado,,,planta 3ª exterior,,0,,,84727585,Piso,,1,Azpeitia,"Pavlo VI Avzvnea, 13"," Pavlo VI Avzvnea, 13 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",100,85,2019-04-01,sur,190000,0,3,1,0,1,
,Anuncio actualizado el 18 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,,84707629,Piso,,1,Azpeitia,"Calle grupo la salve, 16"," Calle grupo la salve, 16 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",80,,2019-04-01,,150000,0,3,0,0,0,
,Anuncio actualizado el 25 de marzo,0,0,2,0,0,segunda mano/buen estado,,,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,84799330,Piso,,1,Orio,"Calle Aita Lertxundi, 18"," Calle Aita Lertxundi, 18 , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",81,,2019-04-01,,286000,0,3,1,0,0,
,Anuncio actualizado el 25 de marzo,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,,84233400, Chalet adosado,,,Errezil,"Ibarbia Diseminado Auzoa, 30"," Ibarbia Diseminado Auzoa, 30 , Errezil , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",180,,2019-04-01,,180000,0,3,0,0,1,
,Anuncio actualizado el 24 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,27492312,Piso,,1,Azkoitia,"Calle Pintor Iriarte, 15"," Calle Pintor Iriarte, 15 , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",80,,2019-04-01,,165000,0,3,1,0,0,
,Anuncio actualizado el 25 de febrero,0,1,2,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,,0,,,83261960,Piso,,1,Zarautz,"Calle Mitxelena, 9"," Calle Mitxelena, 9 , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",115,,2019-04-01,,420000,0,3,1,0,0,
"CASERÍO con terreno de 45000 m² aproximadamente, con posibilidad de edificar uno nuevo en tres plantas (00, 01 y BH) cuya superficie útil total de techo sería de 958 m2; plantas 00 y 01 de 355 m2 cada una más el bajo cubierta de 248 m2. DIFERENTES POSIBILIDADES EDIFICATORIAS. Para detallar más información, ponerse en contacto via mail o teléfono.",Anuncio actualizado el 31 de enero,0,0,1,0,0,segunda mano/para reformar,,inmueble exento,,,0,,,83423876, Casa o chalet independiente,,,Aia,," , Aia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",45000,,2019-04-01,"norte, sur, este, oeste",225000,0,1,0,0,0,
"Apartamento en el centro de Orio. Consta de dos habitaciones, baño completo, cocina equipada y amplio Salón. Amplia terraza a la que se accede desde la cocina y una habitación. Buen estado de conservación. No dispone de ascensor. Le corresponde el 50 % de la Bajo cubierta. OCASION.",Anuncio actualizado el 9 de marzo,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,,84028344,Piso,,0,Orio,," , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",69,,2019-04-01,,160000,0,2,0,0,0,
"Amplio Caserio ADOSADO en Orio. Cuenta con dos plantas y posibilidad de bajo cubierta. Precisa obra interior total. Acceso rodado, suministro electrico y agua. Terreno alrededor de 27.000 m2 con amplias praderas llanas, soleadas y preciosas vistas. Posibiliodad de comprar otros 50.000 m2 de pertenecidos. OCASION.",Anuncio actualizado el 25 de enero,0,0,2,0,0,segunda mano/buen estado,,en trámite,,,0,,,84028201, Casa o chalet,,,Orio,," , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",500,,2019-04-01,,375000,0,3,0,0,0,
