ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Amplia casa en el lugar de A Picota, perteneciente al ayuntamiento de Mazaricos (A Coruña). Cuenta con una superficie construida total de 394 m2, edificados sobre una parcela de 594 m2, y con la siguiente distribución: - Planta baja (148 m2): Distribuidos en garaje y sala de calderas (61m2) y vivienda (87 m2). - Planta primera (122 m²): Destinados a vivienda. Cuenta con cocina, salón, 4,habitaciones y 2 baños. Dispone además de una amplia terraza de 26 m2; - Planta segunda: (124 m²): Destinada a vivienda. Cuenta con cocina, salón, 3 habitaciones (una con baño) y un baño general. El interior de esta planta se encuentra en construción. Todo el conjunto se encuentra enclavado en una FINCA de 594m2, con frutales, zona ajardinada y barbacoa. Ubicada en una zona tranquila, cerca del Camino de Santiago, y con todos los servicios a excasos metros.",Anuncio actualizado el 19 de enero,0,0,2,0,0,,,,,,1,,,83787192, Casa o chalet,,,Mazaricos,," , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",394,,2019-04-13,,170000,0,4,0,0,0,
"Rua curros enrique. Se venden o alquila centrico piso en santa comba a 2 minutos andando al centro, rua de Curros Enriquez al lado del MULTIUSOS y del nuevo centro comercial FAMILIA, zona tranquila, el piso consta de 70 metros con 3 dormitorios y 1 baño, cocina comedor junto y a bierto, todo practicamente exterior y muy luminoso, nunca se a vivido en el, esta a estrenar, el precio de venta seria a negociar, el precio de alquiler incluye gastos de comunidad.",Anuncio actualizado el 15 de febrero,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,,0,,,38265845,Piso,,1,Santa Comba,"Calle de Curros Enríquez, 15"," Calle de Curros Enríquez, 15 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",70,65,2019-04-13,norte,50000,0,3,0,0,0,
"Véndese finca en A Xesteira, Cotobade, Pontevedra (a 9 qm de Pontevedra e a 4 de Ponte Bora). Non é edificable. Si apta para móbil-home, caravana, etc. Preciosa finca con auga, sol, veiga verde, salgueiros arredor, unha caseta de obra de 15 m2, un regato que baixa por un lateral, bos veciños, ovellas, ameixeiras, mirabeis, bambú, bimbios, un pozo no centro da veiga, etc. Desde Vigo chegamos en 30 min. xustos e, desde Pontevedra, en 10. Se queredes ver moitas fotografías, un vídeo, etc, no noso blog explicamos todo sobre a nosa querida finca. Tecleando entresalgueiros. blogspot en Google, xa aparece o noso blog.",Anuncio actualizado el 26 de marzo,0,0,1,0,0,segunda mano/buen estado,,inmueble exento,1 planta,,0,,,29651097, Finca rústica,,,Santa Comba,Urb. A 9 km de Pontevedra e a 5 km de Ponte Bora," a Xesteira, 1 , Urb. A 9 km de Pontevedra e a 5 km de Ponte Bora , Santa Comba , Xallas, A Coruña ","a Xesteira, 1",,"Xallas, A Coruña",1871,1,2019-04-13,sur,12500,0,1,0,0,0,
"¡Tu oportunidad! Se vende casa de piedra de unos 150m2 con un terreno de 900m2 de superficie solar con diversas construcciones anexas de piedra como hórreo, alpendres, etc… Necesita reforma.,El acceso a la propiedad es muy bueno, se encuentra en un pueblo rural perteneciente al municipio de Mazaricos, a 5 minutos de Pino de Val, 10 minutos de A Picota, 25 minutos de Muros, 30 minutos de Noia y Cee, 45 minutos de Santiago de Compostela.,Infórmate sin compromiso. Se escuchan ofertas!.",Anuncio actualizado el 31 de enero,0,0,1,0,1,segunda mano/para reformar,,inmueble exento,2 plantas,,1,,,35571849, Casa de pueblo,,,Mazaricos,Corveira s/n," Corveira s/n , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",900,,2019-04-13,norte,25000,0,4,0,0,0,
"Preciosa casa lista para vivir y amueblada en Asenso próxima a Pino do Val en finca de 800m2.Casa compuesta por 3 plantas,una planta baja con garaje,oficina/habitación,cocina de hierro y gas,trastero y un baño con ducha.Planta primera compuesta por 4-dormitorios,cocina,salón comedor,trastero,cuarto de baño completo y una Segunda Planta compuesta por 3-dormitorios y 1-cuarto de baño completo.Con un total de 334m2 edificados.La propriedad esta completamente cerrada con alambrada.Fachada oeste de la casa aislada con planchas de Poliestireno., la casa dispone de:,portero automático",Anuncio actualizado el 2 de diciembre,0,0,3,0,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,1,,,2063146, Casa o chalet independiente,,,Mazaricos,"Carretera de Muros, 46"," Carretera de Muros, 46 , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",800,,2019-04-13,,129000,0,7,1,0,0,
"Casa de 125 m2 con 4 habitaciones, 1 baño completo, salón comedor con chimenea francesa, cocina equipada y con una finca de 1.604 m2 cerrada con muro y tullas. Dispone de pozo y barbacoa. Amueblada. Lista para entrar a vivir. Situada a 7 km de santa comba y a 34 km de santiago. Y tiene al lado otra casa vieja de piedra de 57 m2 de planta.",Anuncio actualizado el 10 de abril,0,0,1,0,0,segunda mano/buen estado,1979,en trámite,1 planta,,1,,,84500217, Casa de pueblo,,,Santa Comba,Aldea Freixeiro Parroquia Amenzones," Aldea Freixeiro Parroquia Amenzones , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",1604,,2019-04-13,sur,90000,0,4,0,0,0,
"Luminoso piso ubicado en Calle Galicia, 20, en la tercera planta, distribuido en amplio salón, cocina amueblada y 2 cuartos de baño completos. Cuenta con armarios empotrados. Aliseda Inmobiliaria.",Anuncio actualizado el 10 de abril,0,0,2,1,0,,,,planta 3ª,,0,,,32534861,Piso,,,Santa Comba,Calle galicia," Calle galicia , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",130,,2019-04-13,,37440,0,3,0,0,0,
"Luminoso piso ubicado en Calle Galicia, 20, en la tercera planta, distribuido en amplio salón, cocina amueblada y 2 cuartos de baño completos. Cuenta con armarios empotrados.",Anuncio actualizado el 12 de abril,0,0,1,0,0,segunda mano/buen estado,,,planta 3ª,,0,,,39888648,Piso,,0,Santa Comba,Calle galicia," Calle galicia , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",130,,2019-04-13,,37440,0,3,0,0,0,
"Casa de piedra ubicada en el lugar de A Curra, aldea perteneciente al ayuntamiento de Mazaricos. La vivienda cuenta con 196 m2, distribuidos de la siguiente forma: Planta baja de 95 m2, distribuida en cocina, salón - comedor y despensa; entreplanta de 6 m2, destinados a baño; y planta primera de 95 m2, distribuidos en 4 habitaciones. En la fachada principal, orientada completamente al Este, dispone de un anexo de 28 m2 destinado a almacén, y de una segunda edificación de piedra con 200 m2, distribuidos en 2 plantas. Todo ello se ubica en una soleada parcela que ocupa la superficie total de 12.188m2, en la que además encontramos 2 antiguos hórreos. Situada en una zona de muy fácil acceso, a tan sólo 10 minutos de la playa de Ezaro, con impresionantes vistas a la montaña y sobre todo muy soleada. Ideal para dedicar a Turismo Rural.",Anuncio actualizado el 3 de abril,0,0,1,0,0,,,en trámite,,,0,,,84931271, Casa o chalet,,,Mazaricos,"A Curra, Arcos"," A Curra, Arcos , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",224,,2019-04-13,,95000,0,4,0,0,0,
"Se vende casa independiente con terreno urbanizable con una superficie aproximada de 5.600m2, finca amurallada con piedra. La vivienda dispone de 3 plantas de 120m2 cada una.,Planta baja pendiente de distribución en parte de su superficie.,Primera planta: Cocina, salón, 4 dormitorios, 2 baños completos y despensa.,Planta Segunda: 1 dormitorio y colgador.,Casa con parcela de garaje adosada de 55m2.,Suelo de tarima flotante y gres de primeras calidades. ,Ventanas de PVC Climalit de doble acristalamiento.,Calefacción de gasóleo.,Precio de venta 210.000€ negociables.",Anuncio actualizado el 31 de marzo,0,0,2,1,0,segunda mano/buen estado,,en trámite,3 plantas,plaza de garaje incluida en el precio,1,,,37655166, Casa o chalet independiente,,,Santa Comba,"Busto, 11"," Busto, 11 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",5500,,2019-04-13,,210000,0,4,1,0,1,
