ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Vivienda de 2 dormitorios en el centro de pinto, 61 m2, cocina amueblada, suelos en gres, exteriores climalit, carpintería interior en roble, armario empotrado, plaza de garaje y trastero. Junto al parque egido, parada autobús, comercios, bancos. Sin comisiones para el comprador. Estudio económico y gestión de préstamo gratuito. Asesoramiento jurídico, fiscal y financiero sin coste.",Anuncio actualizado el 27 de septiembre,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,0,,calefacción individual: eléctrica,82532857,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",61,52,2019-04-12,,139900,0,2,1,0,0,
"Vivienda de 2 dormitorios, 72 M2, cocina amueblada, suelos de tarima flotante, carpintería interior sapelli, exteriores aluminio climalit con palilleria, calefacción individual, armario empotrado en dormitorio principal, DOS TERRAZAS una de ellas cubierta. Próximo a parques, RENFE. SIN COMISIONES PARA EL COMPRADOR. ESTUDIO ECONÓMICO Y GESTIÓN DE PRÉSTAMO GRATUITO. ASESORAMIENTO JURÍDICO, FISCAL Y FINANCIERO SIN COSTE.",Anuncio actualizado el 23 de noviembre,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,calefacción individual,83055428,Piso,,0,Pinto,Distrito San José - Buenos Aires," , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",72,,2019-04-12,,116000,0,2,0,0,1,
"Gran vivienda de 4 DORMITORIOS (ahora 3). TERRAZA de 90 M² con acceso desde COCINA. Salón de 33,70 M² Independiente. 2 baños (Bañera y Ducha) uno de ellos en Suite. Dormitorio principal de 19 M² con VESTIDOR. Plaza GARAJE. ASCENSOR hasta sótano. Excelente ubicación, en el centro de Pinto con todos los servicios.,NO cobramos COMISIONES por la compra y gestionamos su PRÉSTAMO totalmente GRATIS.",Anuncio actualizado el 21 de marzo,0,1,2,1,0,segunda mano/buen estado,1991,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,83310462,Piso,,1,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",131,,2019-04-12,"norte, oeste",229900,0,3,0,0,1,
,Anuncio actualizado el 7 de abril,1,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,,84134130,Dúplex,,0,Pinto,Distrito San José - Buenos Aires," Calle de San José, 3 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle de San José, 3",,"Zona sur, Madrid",58,,2019-04-12,,103000,0,1,0,0,0,
"Vivienda de 3 dormitorios, 96 m2, a reformar, cocina con tendedero cerrado, salón independiente, suelos de terrazo, exteriores aluminio, terraza, toma de gas natural, finca con ascensor. Próximo a parques, comercios, colegios. Sin comisiones para el comprador. Estudio económico y gestión de préstamo gratuito. Asesoramiento jurídico, fiscal y financiero sin coste.",Anuncio actualizado el 21 de marzo,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,,84397306,Piso,,1,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",96,75,2019-04-12,,156000,0,3,0,0,1,
"Vivienda de 3 dormitorios, totalmente reformada, incluidas tuberías y electricidad, 79 m2, cocina amueblada, suelos de tarima flotante, carpintería interior roble, exteriores aluminio, tendedero cerrado, terraza, totalmente exterior, ventilación cruzada. Próximo a renfe, colegios, comercios. Sin comisiones para el comprador. Estudio económico y gestión de préstamo gratuito. Asesoramiento jurídico, fiscal y financiero sin coste.",Anuncio actualizado el 14 de marzo,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 4ª exterior,,0,,no dispone de calefacción,84459166,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",79,66,2019-04-12,,90000,0,3,0,0,1,
"Vivienda de 3 dormitorios, 77 M2, cocina amueblada, salón independiente, suelos en gres, puertas en roble, carpintería exterior aluminio climalit, calefacción gas natural, aire acondicionado por Split (2), terraza, excelente situación. Próximo a RENFE, comercios, bancos, parques, centro de salud. SIN COMISIONES PARA EL COMPRADOR. ESTUDIO ECONÓMICO Y GESTIÓN DE PRÉSTAMO GRATUITO. ASESORAMIENTO JURÍDICO, FISCAL Y FINANCIERO SIN COSTES.",Anuncio actualizado el 28 de marzo,1,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,calefacción individual: gas natural,84501110,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",77,65,2019-04-12,,129900,0,3,0,0,1,
"Inmovital vende piso en la zona centro de Pinto, la vivienda tiene tres dormitorios, salón independiente con salida a una pequeña terraza, cocina amueblada con tendedero y un baño completo, tiene doble acristalamiento en toda la casa La vivienda esta impecable para entrar a vivir. Mejor visitarlo. les ayudamos con el préstamo.",Anuncio actualizado el 4 de abril,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,,84877363,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",70,69,2019-04-12,sur,129000,0,3,0,0,0,
"distribución:, terraza descubierta de 14 m2,4 vecinos en el edificio.",Anuncio actualizado el 25 de marzo,0,0,1,1,0,segunda mano/buen estado,,no indicado,entreplanta exterior,plaza de garaje incluida en el precio,1,,calefacción individual,1620644,Piso,,1,Pinto,Distrito San José - Buenos Aires," Calle Nicolás Fuster, 9 , Urb. princesa de eboli , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ",Urb. princesa de eboli,"Calle Nicolás Fuster, 9","Zona sur, Madrid",79,60,2019-04-12,sur,180000,1,1,1,1,1,
"puertas de roble, completamente reformado, calefaccion, amueblado con electrodomésticos, parques alrededores y zonas comerciales, muy bien comunicado, vendo por traslado, la casa dispone de:,ventanas de aluminio.",Anuncio actualizado el 11 de febrero,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,304923,Piso,,1,Pinto,Distrito San José - Buenos Aires," Calle Cañada Real de Toledo, 3 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle Cañada Real de Toledo, 3",,"Zona sur, Madrid",65,,2019-04-12,,135000,0,2,0,0,1,
